,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
142,Oklahoma City Thunder,Dallas Mavericks,22,17,25,22,26,25,22,22,03.01.2022
143,Oklahoma City Thunder,New York Knicks,23,28,23,21,20,29,16,15,01.01.2022
144,Phoenix Suns,Oklahoma City Thunder,33,27,25,30,23,29,29,16,30.12.2021
145,Sacramento Kings,Oklahoma City Thunder,32,29,26,30,34,23,24,30,29.12.2021
146,Oklahoma City Thunder,New Orleans Pelicans,32,25,32,28,18,31,32,31,27.12.2021
147,Phoenix Suns,Oklahoma City Thunder,29,16,37,31,17,31,21,32,24.12.2021
148,Oklahoma City Thunder,Denver Nuggets,28,32,28,20,18,34,14,28,23.12.2021
149,Memphis Grizzlies,Oklahoma City Thunder,28,22,22,27,16,31,27,28,21.12.2021
150,Oklahoma City Thunder,Los Angeles Clippers,24,33,24,23,19,33,27,24,19.12.2021
151,Oklahoma City Thunder,New Orleans Pelicans,28,23,27,32,24,21,30,38,16.12.2021
152,Oklahoma City Thunder,Dallas Mavericks,27,19,25,13,28,28,24,23,13.12.2021
153,Oklahoma City Thunder,Los Angeles Lakers,18,27,23,27,32,32,29,23,11.12.2021
154,Toronto Raptors,Oklahoma City Thunder,36,28,12,33,26,28,33,23,09.12.2021
155,Detroit Pistons,Oklahoma City Thunder,37,26,18,22,28,22,22,42,07.12.2021
156,Memphis Grizzlies,Oklahoma City Thunder,31,41,41,39,16,20,26,17,03.12.2021
157,Oklahoma City Thunder,Houston Rockets,26,34,21,29,24,29,20,41,02.12.2021
158,Houston Rockets,Oklahoma City Thunder,28,18,26,30,23,14,23,29,30.11.2021
159,Oklahoma City Thunder,Washington Wizards,27,27,14,31,25,31,20,25,27.11.2021
160,Oklahoma City Thunder,Utah Jazz,25,27,28,24,21,28,32,29,25.11.2021
161,Atlanta Hawks,Oklahoma City Thunder,32,34,27,20,27,33,11,30,23.11.2021
162,Boston Celtics,Oklahoma City Thunder,30,28,31,22,23,22,29,31,21.11.2021
163,Milwaukee Bucks,Oklahoma City Thunder,34,24,22,16,24,23,21,21,20.11.2021
164,Oklahoma City Thunder,Houston Rockets,22,31,27,21,19,22,23,25,18.11.2021
165,Oklahoma City Thunder,Miami Heat,24,19,24,23,23,20,31,29,16.11.2021
166,Oklahoma City Thunder,Brooklyn Nets,25,23,26,22,30,31,29,30,15.11.2021
167,Oklahoma City Thunder,Sacramento Kings,16,32,29,28,23,39,24,17,13.11.2021
168,New Orleans Pelicans,Oklahoma City Thunder,29,19,23,29,28,28,29,23,11.11.2021
169,Oklahoma City Thunder,San Antonio Spurs,14,31,34,20,28,27,14,25,08.11.2021
170,Los Angeles Lakers,Oklahoma City Thunder,25,27,28,24,21,27,24,35,05.11.2021
171,Los Angeles Clippers,Oklahoma City Thunder,14,26,26,33,23,21,30,20,02.11.2021
172,Golden State Warriors,Oklahoma City Thunder,28,27,27,21,20,24,14,24,31.10.2021
173,Oklahoma City Thunder,Los Angeles Lakers,19,37,41,26,41,31,23,20,28.10.2021
174,Oklahoma City Thunder,Golden State Warriors,34,25,17,22,29,19,33,25,27.10.2021
175,Oklahoma City Thunder,Philadelphia 76ers,26,25,27,25,36,23,28,28,25.10.2021
176,Houston Rockets,Oklahoma City Thunder,34,35,31,24,21,26,26,18,23.10.2021
177,Utah Jazz,Oklahoma City Thunder,27,27,29,24,18,24,21,23,21.10.2021
178,Oklahoma City Thunder,Denver Nuggets,30,20,33,19,26,30,21,25,"15.10.2021
AOT"
179,Oklahoma City Thunder,Denver Nuggets,29,24,31,24,23,25,24,27,14.10.2021
