,home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
195,Los Angeles Clippers,Memphis Grizzlies,17,19,29,30,28,29,22,25,17.08.2021
196,Chicago Bulls,Memphis Grizzlies,19,22,31,19,24,29,16,27,16.08.2021
197,Sacramento Kings,Memphis Grizzlies,19,23,24,24,13,24,26,12,14.08.2021
198,Memphis Grizzlies,Miami Heat,24,25,17,22,13,25,20,30,"11.08.2021
AOT"
199,Memphis Grizzlies,Brooklyn Nets,15,28,18,30,16,17,26,25,09.08.2021
200,Memphis Grizzlies,San Antonio Spurs,14,21,31,16,22,11,16,28,07.08.2021
201,Utah Jazz White,Memphis Grizzlies,26,19,24,25,18,10,22,25,05.08.2021
202,Utah Jazz Blue,Memphis Grizzlies,12,16,19,18,29,28,20,27,04.08.2021
203,Utah Jazz,Memphis Grizzlies,47,28,31,20,27,24,25,34,03.06.2021
204,Memphis Grizzlies,Utah Jazz,31,23,33,26,34,25,41,20,01.06.2021
205,Memphis Grizzlies,Utah Jazz,22,29,34,26,34,28,34,25,30.05.2021
206,Utah Jazz,Memphis Grizzlies,36,38,29,38,27,27,43,32,27.05.2021
207,Utah Jazz,Memphis Grizzlies,24,19,31,35,17,32,34,29,24.05.2021
208,Golden State Warriors,Memphis Grizzlies,29,20,24,26,30,32,16,21,"22.05.2021
AOT"
209,Memphis Grizzlies,San Antonio Spurs,38,18,16,28,19,30,16,31,20.05.2021
210,Golden State Warriors,Memphis Grizzlies,30,25,31,27,29,20,20,32,16.05.2021
211,Memphis Grizzlies,Sacramento Kings,29,24,26,28,25,32,19,30,15.05.2021
212,Memphis Grizzlies,Sacramento Kings,36,23,30,27,32,28,23,27,14.05.2021
213,Memphis Grizzlies,Dallas Mavericks,28,32,36,37,27,30,25,22,12.05.2021
214,Memphis Grizzlies,New Orleans Pelicans,36,35,15,29,31,28,29,22,11.05.2021
215,Toronto Raptors,Memphis Grizzlies,26,20,26,27,26,21,34,28,09.05.2021
216,Detroit Pistons,Memphis Grizzlies,31,27,20,33,32,17,21,27,07.05.2021
217,Minnesota Timberwolves,Memphis Grizzlies,29,34,40,32,33,40,34,32,06.05.2021
218,Memphis Grizzlies,New York Knicks,22,36,22,24,25,44,28,21,04.05.2021
219,Orlando Magic,Memphis Grizzlies,29,17,30,36,36,24,25,26,02.05.2021
220,Memphis Grizzlies,Orlando Magic,19,20,36,17,20,23,15,17,01.05.2021
221,Memphis Grizzlies,Portland Trail Blazers,23,23,37,26,38,36,28,28,29.04.2021
222,Denver Nuggets,Memphis Grizzlies,21,37,27,35,18,35,22,21,27.04.2021
223,Portland Trail Blazers,Memphis Grizzlies,20,27,31,35,23,35,32,30,25.04.2021
224,Portland Trail Blazers,Memphis Grizzlies,23,33,43,29,28,34,38,30,24.04.2021
225,Los Angeles Clippers,Memphis Grizzlies,24,29,34,30,39,23,20,23,22.04.2021
226,Denver Nuggets,Memphis Grizzlies,27,29,31,29,35,25,35,21,"20.04.2021
AOT"
227,Milwaukee Bucks,Memphis Grizzlies,31,28,30,26,35,34,31,28,18.04.2021
228,Chicago Bulls,Memphis Grizzlies,33,24,28,30,33,24,37,32,17.04.2021
229,Memphis Grizzlies,Dallas Mavericks,34,26,29,24,32,25,26,31,15.04.2021
230,Memphis Grizzlies,Chicago Bulls,22,26,22,31,22,25,27,16,13.04.2021
231,Memphis Grizzlies,Indiana Pacers,31,32,34,28,45,29,32,26,12.04.2021
232,New York Knicks,Memphis Grizzlies,23,28,32,31,35,25,30,24,"10.04.2021
AOT"
233,Atlanta Hawks,Memphis Grizzlies,34,30,23,26,29,38,43,21,08.04.2021
234,Miami Heat,Memphis Grizzlies,34,23,32,23,37,26,33,28,07.04.2021
235,Philadelphia 76ers,Memphis Grizzlies,22,20,29,29,29,23,45,19,05.04.2021
236,Memphis Grizzlies,Minnesota Timberwolves,30,38,24,28,28,38,18,24,03.04.2021
237,Memphis Grizzlies,Utah Jazz,28,21,27,31,29,28,18,36,01.04.2021
238,Houston Rockets,Memphis Grizzlies,27,30,34,19,23,34,33,30,30.03.2021
239,Utah Jazz,Memphis Grizzlies,39,31,30,26,19,34,29,28,28.03.2021
240,Utah Jazz,Memphis Grizzlies,38,28,22,29,24,26,29,35,27.03.2021
241,Oklahoma City Thunder,Memphis Grizzlies,21,32,20,34,26,23,33,34,25.03.2021
242,Memphis Grizzlies,Boston Celtics,24,36,34,23,30,35,21,31,"23.03.2021
AOT"
243,Memphis Grizzlies,Golden State Warriors,28,21,33,29,24,27,28,24,21.03.2021
244,Memphis Grizzlies,Golden State Warriors,26,22,24,31,34,33,24,25,20.03.2021
245,Memphis Grizzlies,Miami Heat,25,21,26,17,22,25,16,22,18.03.2021
246,Phoenix Suns,Memphis Grizzlies,24,36,36,26,25,27,25,22,16.03.2021
247,Oklahoma City Thunder,Memphis Grizzlies,28,27,35,38,31,31,38,22,14.03.2021
248,Memphis Grizzlies,Denver Nuggets,31,24,22,25,26,27,28,22,13.03.2021
249,Memphis Grizzlies,Washington Wizards,35,32,27,33,26,36,23,27,11.03.2021
250,Memphis Grizzlies,Milwaukee Bucks,17,34,33,27,31,30,23,28,05.03.2021
251,Washington Wizards,Memphis Grizzlies,33,23,22,33,35,36,25,29,03.03.2021
252,Houston Rockets,Memphis Grizzlies,18,19,23,24,25,38,32,38,01.03.2021
253,Memphis Grizzlies,Los Angeles Clippers,30,17,25,27,32,31,27,29,27.02.2021
254,Memphis Grizzlies,Los Angeles Clippers,24,37,28,33,27,26,22,19,26.02.2021
255,Dallas Mavericks,Memphis Grizzlies,26,28,27,21,13,23,26,30,23.02.2021
256,Memphis Grizzlies,Phoenix Suns,15,19,30,33,28,37,31,32,21.02.2021
257,Memphis Grizzlies,Detroit Pistons,35,18,31,25,17,26,30,22,20.02.2021
258,Memphis Grizzlies,Oklahoma City Thunder,30,27,29,36,31,25,29,28,18.02.2021
259,Memphis Grizzlies,New Orleans Pelicans,32,26,23,32,29,34,38,43,17.02.2021
260,Sacramento Kings,Memphis Grizzlies,22,24,33,31,30,32,37,25,15.02.2021
261,Los Angeles Lakers,Memphis Grizzlies,16,30,41,28,31,28,23,23,13.02.2021
262,Memphis Grizzlies,Charlotte Hornets,34,36,31,29,38,30,15,31,11.02.2021
263,Memphis Grizzlies,Toronto Raptors,34,36,27,16,35,28,31,34,09.02.2021
264,New Orleans Pelicans,Memphis Grizzlies,31,29,30,28,33,28,30,18,07.02.2021
265,Memphis Grizzlies,Houston Rockets,27,20,23,33,27,33,27,28,05.02.2021
266,Indiana Pacers,Memphis Grizzlies,37,34,33,30,27,23,35,31,03.02.2021
267,San Antonio Spurs,Memphis Grizzlies,31,22,30,19,33,36,27,37,02.02.2021
268,San Antonio Spurs,Memphis Grizzlies,27,29,34,22,35,29,36,29,31.01.2021
269,Memphis Grizzlies,Phoenix Suns,18,34,25,31,24,24,27,29,18.01.2021
270,Memphis Grizzlies,Philadelphia 76ers,25,35,28,18,26,28,22,28,17.01.2021
271,Minnesota Timberwolves,Memphis Grizzlies,29,29,32,17,27,29,24,38,14.01.2021
272,Cleveland Cavaliers,Memphis Grizzlies,27,19,25,20,24,23,30,24,12.01.2021
273,Memphis Grizzlies,Brooklyn Nets,40,22,30,23,28,19,39,24,09.01.2021
274,Memphis Grizzlies,Cleveland Cavaliers,24,21,24,21,19,27,21,27,08.01.2021
275,Memphis Grizzlies,Los Angeles Lakers,24,25,19,24,19,26,22,27,06.01.2021
276,Memphis Grizzlies,Los Angeles Lakers,36,18,21,19,25,31,21,31,04.01.2021
277,Charlotte Hornets,Memphis Grizzlies,19,28,20,26,23,30,30,25,02.01.2021
278,Boston Celtics,Memphis Grizzlies,31,35,30,30,19,21,31,36,31.12.2020
279,Brooklyn Nets,Memphis Grizzlies,23,32,30,21,32,22,33,19,"29.12.2020
AOT"
