home_team,away_team,first_quarter_home,second_quarter_home,third_quarter_home,fourth_quarter_home,first_quarter_away,second_quarter_away,third_quarter_away,fourth_quarter_away,event_time
Washington Wizards,Miami Heat,26,15,30,32,25,18,32,25,21.11.2021
Miami Heat,Washington Wizards,21,26,36,29,19,21,30,27,19.11.2021
Miami Heat,New Orleans Pelicans,21,26,34,32,34,18,18,28,18.11.2021
Oklahoma City Thunder,Miami Heat,24,19,24,23,23,20,31,29,16.11.2021
Utah Jazz,Miami Heat,24,24,21,36,27,31,37,16,13.11.2021
Los Angeles Clippers,Miami Heat,25,31,30,26,40,18,20,31,12.11.2021
Los Angeles Lakers,Miami Heat,28,27,27,30,25,32,29,26,"11.11.2021
AOT"
Denver Nuggets,Miami Heat,30,34,27,22,25,24,21,26,09.11.2021
Miami Heat,Utah Jazz,27,28,32,31,24,28,26,37,07.11.2021
Miami Heat,Boston Celtics,24,9,24,21,18,33,24,20,05.11.2021
Dallas Mavericks,Miami Heat,30,32,26,22,24,46,29,26,03.11.2021
Memphis Grizzlies,Miami Heat,22,32,25,24,38,29,35,27,31.10.2021
Miami Heat,Charlotte Hornets,33,31,20,30,22,24,29,24,30.10.2021
Brooklyn Nets,Miami Heat,22,29,23,19,29,20,32,25,28.10.2021
Miami Heat,Orlando Magic,27,30,24,26,15,29,26,20,26.10.2021
Indiana Pacers,Miami Heat,28,28,8,22,24,22,17,23,"24.10.2021
AOT"
Miami Heat,Milwaukee Bucks,40,32,33,32,17,26,26,26,22.10.2021
Miami Heat,Boston Celtics,28,31,28,34,34,21,26,19,15.10.2021
Atlanta Hawks,Miami Heat,33,34,30,30,17,26,29,20,15.10.2021
Miami Heat,Charlotte Hornets,27,20,30,27,24,29,25,25,12.10.2021
San Antonio Spurs,Miami Heat,17,28,32,28,24,30,24,31,09.10.2021
Houston Rockets,Miami Heat,26,22,22,36,34,28,29,22,08.10.2021
Miami Heat,Atlanta Hawks,33,41,25,26,32,26,24,17,05.10.2021
Miami Heat,Dallas Mavericks,18,20,19,25,22,31,17,13,17.08.2021
Miami Heat,Atlanta Hawks,24,27,21,18,26,26,19,23,14.08.2021
Utah Jazz,Miami Heat,13,19,27,25,17,16,20,12,13.08.2021
Memphis Grizzlies,Miami Heat,24,25,17,22,13,25,20,30,"11.08.2021
AOT"
Miami Heat,Denver Nuggets,30,21,22,24,12,20,17,28,09.08.2021
Golden State Warriors,Miami Heat,20,23,23,21,30,21,21,22,05.08.2021
Miami Heat,Los Angeles Lakers,27,19,18,16,32,17,15,14,04.08.2021
Miami Heat,Milwaukee Bucks,26,38,21,18,22,35,34,29,29.05.2021
Miami Heat,Milwaukee Bucks,14,22,24,24,26,23,37,27,28.05.2021
Milwaukee Bucks,Miami Heat,46,32,29,25,20,31,27,20,25.05.2021
Milwaukee Bucks,Miami Heat,22,31,27,19,24,26,28,21,"22.05.2021
AOT"
Detroit Pistons,Miami Heat,13,34,24,36,32,37,26,25,17.05.2021
Milwaukee Bucks,Miami Heat,44,26,29,23,28,23,30,27,16.05.2021
Miami Heat,Philadelphia 76ers,38,22,29,17,22,19,26,27,14.05.2021
Boston Celtics,Miami Heat,28,28,23,42,28,34,31,36,12.05.2021
Boston Celtics,Miami Heat,23,30,31,40,36,43,26,25,09.05.2021
Miami Heat,Minnesota Timberwolves,28,31,30,32,32,22,24,34,08.05.2021
Miami Heat,Dallas Mavericks,39,15,23,36,30,33,35,29,05.05.2021
Charlotte Hornets,Miami Heat,32,26,22,31,35,30,35,21,03.05.2021
Cleveland Cavaliers,Miami Heat,36,24,26,21,29,38,32,25,02.05.2021
Miami Heat,San Antonio Spurs,31,24,27,34,20,34,20,37,29.04.2021
Miami Heat,Chicago Bulls,26,27,29,20,20,32,24,34,27.04.2021
Miami Heat,Chicago Bulls,33,28,19,26,18,23,22,38,25.04.2021
Atlanta Hawks,Miami Heat,31,31,33,23,30,31,28,14,24.04.2021
San Antonio Spurs,Miami Heat,27,26,19,15,27,24,26,30,22.04.2021
Miami Heat,Houston Rockets,30,24,35,24,28,27,19,17,20.04.2021
Miami Heat,Brooklyn Nets,32,32,22,23,31,29,24,23,18.04.2021
Minnesota Timberwolves,Miami Heat,26,35,27,31,37,24,32,18,17.04.2021
Denver Nuggets,Miami Heat,26,34,36,27,31,18,30,27,15.04.2021
Phoenix Suns,Miami Heat,26,30,27,23,34,16,22,14,14.04.2021
Portland Trail Blazers,Miami Heat,31,17,23,27,25,31,33,18,12.04.2021
Miami Heat,Los Angeles Lakers,32,22,29,27,27,29,24,24,09.04.2021
Miami Heat,Memphis Grizzlies,34,23,32,23,37,26,33,28,07.04.2021
Miami Heat,Cleveland Cavaliers,36,31,17,31,27,27,19,28,04.04.2021
Miami Heat,Golden State Warriors,23,36,27,30,24,30,27,28,02.04.2021
Indiana Pacers,Miami Heat,28,17,22,20,23,20,22,27,01.04.2021
New York Knicks,Miami Heat,16,27,21,24,21,15,39,23,30.03.2021
Charlotte Hornets,Miami Heat,40,32,20,18,23,26,30,26,27.03.2021
Miami Heat,Portland Trail Blazers,24,34,33,31,31,28,32,34,26.03.2021
Miami Heat,Phoenix Suns,20,23,30,27,25,33,27,25,24.03.2021
Miami Heat,Indiana Pacers,26,23,21,28,32,25,22,19,"21.03.2021
AOT"
Miami Heat,Indiana Pacers,30,28,24,28,32,36,31,38,20.03.2021
Memphis Grizzlies,Miami Heat,25,21,26,17,22,25,16,22,18.03.2021
Miami Heat,Cleveland Cavaliers,37,25,33,18,26,22,28,22,17.03.2021
Orlando Magic,Miami Heat,19,26,32,20,22,26,25,29,15.03.2021
Chicago Bulls,Miami Heat,21,21,26,22,29,13,28,31,13.03.2021
Miami Heat,Orlando Magic,30,33,19,29,32,26,24,21,12.03.2021
New Orleans Pelicans,Miami Heat,15,30,25,23,31,24,22,26,05.03.2021
Miami Heat,Atlanta Hawks,17,20,29,14,23,21,19,31,03.03.2021
Miami Heat,Atlanta Hawks,26,28,24,31,21,23,33,22,01.03.2021
Miami Heat,Utah Jazz,26,31,39,28,30,23,41,22,27.02.2021
Miami Heat,Toronto Raptors,32,34,26,24,35,21,29,23,25.02.2021
Oklahoma City Thunder,Miami Heat,21,33,23,17,23,22,34,29,23.02.2021
Los Angeles Lakers,Miami Heat,23,29,25,17,36,23,22,15,21.02.2021
Sacramento Kings,Miami Heat,21,22,36,31,31,26,32,29,19.02.2021
Golden State Warriors,Miami Heat,24,22,30,29,36,25,25,19,"18.02.2021
AOT"
Los Angeles Clippers,Miami Heat,33,34,25,33,35,27,29,27,16.02.2021
Utah Jazz,Miami Heat,18,29,31,34,21,21,15,37,14.02.2021
Houston Rockets,Miami Heat,29,24,10,31,19,28,28,26,12.02.2021
Miami Heat,New York Knicks,27,30,19,22,25,30,27,14,10.02.2021
New York Knicks,Miami Heat,23,36,18,26,25,35,22,27,07.02.2021
Miami Heat,Washington Wizards,40,31,35,16,27,16,27,25,06.02.2021
Miami Heat,Washington Wizards,34,31,17,18,31,24,22,26,04.02.2021
Miami Heat,Charlotte Hornets,29,28,25,31,28,26,34,25,"02.02.2021
AOT"
Miami Heat,Sacramento Kings,24,33,27,21,35,24,18,27,31.01.2021
Miami Heat,Los Angeles Clippers,33,17,19,36,19,29,40,21,29.01.2021
Miami Heat,Denver Nuggets,12,21,32,17,26,32,16,35,28.01.2021
Brooklyn Nets,Miami Heat,15,26,29,28,21,24,26,14,26.01.2021
Brooklyn Nets,Miami Heat,36,30,30,32,25,31,26,42,24.01.2021
Toronto Raptors,Miami Heat,37,19,17,28,20,22,22,17,23.01.2021
Toronto Raptors,Miami Heat,23,35,25,19,29,27,32,23,21.01.2021
Miami Heat,Detroit Pistons,24,31,33,25,36,25,19,27,19.01.2021
Miami Heat,Detroit Pistons,23,33,19,25,29,23,38,30,17.01.2021
Philadelphia 76ers,Miami Heat,38,35,25,27,30,28,20,30,15.01.2021
Philadelphia 76ers,Miami Heat,28,27,41,24,25,38,32,25,"13.01.2021
AOT"
Washington Wizards,Miami Heat,44,27,15,38,47,28,28,25,10.01.2021
Miami Heat,Boston Celtics,26,19,35,25,34,19,27,27,07.01.2021
Miami Heat,Oklahoma City Thunder,26,37,28,27,26,23,17,24,05.01.2021
Dallas Mavericks,Miami Heat,20,26,27,20,16,15,22,30,02.01.2021
